Concentration,Sample,Replicates,0 hr,2hr,4h4,6hr,8hr,10hr,24 h,27 h,30 h
no_homicorcin,L.lactis NZ9000,R1,0.2,0.5,0.567,0.549,0.497,0.475,0.462,0.45,0.459
no_homicorcin,L.lactis NZ9000,R2,0.2,0.5,0.563,0.588,0.512,0.491,0.48,0.466,0.476
no_homicorcin,L.lactis NZ9000,R3,0.2,0.5,0.606,0.559,0.525,0.494,0.475,0.461,0.422
no_homicorcin,L.lactis pMGI,R1,0.2,0.5,0.628,0.621,0.625,0.648,0.723,0.722,0.733
no_homicorcin,L.lactis pMGI,R2,0.2,0.5,0.626,0.63,0.638,0.648,0.663,0.678,0.688
no_homicorcin,L.lactis pMGI,R3,0.2,0.5,0.596,0.6,0.613,0.641,0.7,0.69,0.73
2^-4,L.lactis NZ9000,R1,0.2,0.5,0.565,0.564,0.529,0.477,0.471,0.46,0.467
2^-4,L.lactis NZ9000,R2,0.2,0.5,0.604,0.575,0.523,0.487,0.483,0.473,0.45
2^-4,L.lactis NZ9000,R3,0.2,0.5,0.587,0.579,0.532,0.477,0.478,0.47,0.479
2^-4,L.lactis pMGI,R1,0.2,0.5,0.641,0.697,0.659,0.664,0.643,0.603,0.656
2^-4,L.lactis pMGI,R2,0.2,0.5,0.679,0.733,0.699,0.68,0.637,0.644,0.678
2^-4,L.lactis pMGI,R3,0.2,0.5,0.63,0.662,0.628,0.621,0.605,0.586,0.647
2^-3,L.lactis NZ9000,R1,0.2,0.5,0.557,0.556,0.516,0.475,0.467,0.46,0.465
2^-3,L.lactis NZ9000,R2,0.2,0.5,0.584,0.585,0.534,0.481,0.472,0.466,0.459
2^-3,L.lactis NZ9000,R3,0.2,0.5,0.588,0.59,0.533,0.485,0.483,0.476,0.476
2^-3,L.lactis pMGI,R1,0.2,0.5,0.64,0.644,0.627,0.633,0.661,0.68,0.612
2^-3,L.lactis pMGI,R2,0.2,0.5,0.595,0.612,0.627,0.606,0.689,0.686,0.637
2^-3,L.lactis pMGI,R3,0.2,0.5,0.671,0.655,0.69,0.697,0.672,0.658,0.7
2^-2,L.lactis NZ9000,R1,0.2,0.5,0.567,0.538,0.491,0.445,0.429,0.425,0.43
2^-2,L.lactis NZ9000,R2,0.2,0.5,0.575,0.586,0.539,0.475,0.45,0.448,0.453
2^-2,L.lactis NZ9000,R3,0.2,0.5,0.592,0.583,0.54,0.473,0.463,0.448,0.431
2^-2,L.lactis pMGI,R1,0.2,0.5,0.647,0.73,0.734,0.687,0.619,0.731,0.644
2^-2,L.lactis pMGI,R2,0.2,0.5,0.602,0.672,0.668,0.654,0.73,0.653,0.684
2^-2,L.lactis pMGI,R3,0.2,0.5,0.616,0.687,0.693,0.79,0.79,0.745,0.813
2^-1,L.lactis NZ9000,R1,0.2,0.5,0.559,0.526,0.516,0.505,0.436,0.43,0.431
2^-1,L.lactis NZ9000,R2,0.2,0.5,0.564,0.57,0.534,0.467,0.429,0.424,0.42
2^-1,L.lactis NZ9000,R3,0.2,0.5,0.585,0.597,0.57,0.463,0.438,0.433,0.413
2^-1,L.lactis pMGI,R1,0.2,0.5,0.642,0.725,0.778,0.75,0.81,0.825,0.877
2^-1,L.lactis pMGI,R2,0.2,0.5,0.665,0.754,0.772,0.8,0.77,0.755,0.788
2^-1,L.lactis pMGI,R3,0.2,0.5,0.671,0.735,0.767,0.776,0.757,0.775,0.768
2^0,L.lactis NZ9000,R1,0.2,0.5,0.562,0.51,0.522,0.527,0.441,0.422,0.435
2^0,L.lactis NZ9000,R2,0.2,0.5,0.575,0.535,0.528,0.517,0.442,0.434,0.449
2^0,L.lactis NZ9000,R3,0.2,0.5,0.568,0.537,0.51,0.5,0.443,0.439,0.417
2^0,L.lactis pMGI,R1,0.2,0.5,0.624,0.683,0.702,0.706,0.709,0.716,0.717
2^0,L.lactis pMGI,R2,0.2,0.5,0.563,0.57,0.61,0.643,0.672,0.686,0.702
2^0,L.lactis pMGI,R3,0.2,0.5,0.623,0.663,0.697,0.718,0.714,0.705,0.71
2^0,S.hominis,R1,0.2,0.5,0.884,1.488,1.66,1.786,2.008,1.964,1.978
2^0,S.hominis,R2,0.2,0.5,0.88,1.494,1.668,1.792,2.018,1.968,1.97
2^0,S.hominis,R3,0.2,0.5,0.879,1.502,1.664,1.79,2.01,1.972,1.96